Total; 104068072; 140350673;
lbu; 1731715; 19048865;
c.add; 16148733; 16990441;
lw; 13996809; 15366909;
c.lw; 2723568; 7804810;
p.lw; 6400409; 7554025;
p.cnt; 5812960; 6281650;
xor; 5387059; 6111969;
mul; 4246396; 4247426;
sub; 3100025; 3550780;
add; 3181506; 3200546;
addi; 2803470; 2999950;
mulh; 2075200; 2988169;
slli; 2986560; 2987490;
c.slli; 2486020; 2795690;
sltu; 2678827; 2697467;
c.srli; 2673785; 2674055;
p.beqimm; 860454; 2473516;
c.or; 2127910; 2274077;
c.srai; 2214400; 2214420;
lui; 2052536; 2190456;
srai; 1847846; 1847926;
c.mv; 1842104; 1846434;
c.lwsp; 1654935; 1752668;
c.addi; 1574892; 1620562;
beq; 729852; 1465744;
p.mac; 1238896; 1317840;
bge; 427406; 1235170;
p.bneimm; 858080; 1081920;
c.j; 487563; 1081146;
csrrs; 303551; 993031;
bltu; 329453; 968325;
or; 800486; 819646;
c.jr; 332337; 715634;
jal; 326438; 694646;
mulhu; 619520; 619580;
c.sub; 594900; 594970;
blt; 343215; 561777;
andi; 371736; 497926;
p.minu; 460800; 460800;
p.max; 460800; 460800;
c.xor; 431603; 431763;
bgeu; 341695; 417119;
srli; 405850; 407810;
lp.setup; 403471; 403471;
sw; 163224; 337712;
bne; 130569; 289791;
c.li; 214853; 214963;
c.swsp; 193820; 206421;
c.sw; 146168; 156930;
c.and; 99386; 99576;
p.sw; 48801; 49882;
xori; 42483; 42503;
and; 39809; 40249;
c.beqz; 17355; 28949;
c.nop; 18560; 18560;
c.addi16sp; 17257; 18457;
c.bnez; 5702; 17138;
srl; 16991; 17041;
sll; 16836; 16886;
c.lui; 11406; 11866;
c.jal; 5677; 11374;
remu; 272; 9902;
divu; 272; 9792;
p.elw; 985; 1085;
p.bclri; 846; 846;
p.mulu; 600; 600;
c.jalr; 232; 464;
c.andi; 175; 205;
slt; 6; 36;
ori; 3; 13;
c.addi4spn; 10; 10;
auipc; 2; 2;
p.extractui; 1; 1;
