Total; 104647192; 141045979;
lbu; 1734191; 19071311;
c.add; 16173122; 17008008;
lw; 14013049; 15422163;
c.lw; 2773586; 7852193;
p.lw; 6421096; 7551689;
p.cnt; 5812960; 6272360;
xor; 5387118; 6105618;
mul; 4251582; 4253672;
sub; 3100840; 3550950;
add; 3182437; 3200165;
addi; 2840339; 3046459;
slli; 2990473; 2993863;
mulh; 2075200; 2988322;
c.slli; 2514752; 2820608;
sltu; 2679105; 2698945;
c.srli; 2674181; 2674891;
p.beqimm; 865435; 2470720;
c.or; 2136913; 2291651;
lui; 2088172; 2230652;
c.srai; 2214401; 2214401;
c.mv; 1858033; 1870453;
srai; 1847848; 1847848;
c.lwsp; 1699761; 1790760;
c.addi; 1579690; 1631210;
beq; 738414; 1486423;
p.mac; 1255370; 1332399;
bge; 428563; 1160414;
c.j; 501529; 1109288;
p.bneimm; 858401; 1082946;
csrrs; 321472; 992082;
bltu; 331753; 972973;
or; 801254; 821354;
c.jr; 352498; 755060;
jal; 345364; 738438;
mulhu; 619520; 619580;
c.sub; 595516; 595696;
blt; 348657; 567643;
andi; 389050; 510905;
p.max; 460896; 461006;
p.minu; 460800; 460800;
c.xor; 431836; 432296;
bgeu; 343061; 420108;
srli; 407401; 410241;
lp.setup; 403473; 403483;
sw; 180671; 374410;
c.li; 294028; 299828;
bne; 132507; 294773;
c.swsp; 199888; 215691;
c.sw; 158192; 174846;
c.and; 101834; 103035;
p.sw; 50442; 51848;
c.beqz; 25785; 46667;
xori; 42847; 42897;
and; 40487; 41617;
divu; 745; 26820;
c.bnez; 8002; 23225;
c.addi16sp; 18189; 20639;
c.nop; 18584; 18594;
sll; 17287; 17397;
srl; 17118; 17178;
c.lui; 13392; 14632;
remu; 403; 14508;
c.jal; 5909; 12028;
rem; 328; 11920;
p.bclri; 3905; 5165;
div; 140; 5040;
p.lbu; 791; 4267;
p.elw; 1040; 3400;
sb; 636; 2736;
p.mulu; 1072; 2652;
c.jalr; 1239; 2598;
sra; 311; 1891;
c.addi4spn; 695; 1215;
c.andi; 658; 970;
p.sb; 140; 420;
p.inserti; 288; 398;
p.exthz; 311; 311;
p.sletu; 160; 160;
slt; 8; 58;
lp.setupi; 30; 30;
auipc; 4; 24;
csrrw; 4; 24;
p.fl1; 2; 12;
ori; 5; 5;
csrrci; 1; 1;
p.extractui; 1; 1;
p.bseti; 1; 1;
