Total; 104126630; 140405351;
lbu; 1731723; 19049083;
c.add; 16148847; 16991524;
lw; 13996580; 15350523;
c.lw; 2728477; 7833767;
p.lw; 6403892; 7525060;
p.cnt; 5812960; 6281830;
xor; 5387071; 6108261;
mul; 4250405; 4251145;
sub; 3099353; 3549946;
add; 3181507; 3200347;
addi; 2802702; 3006262;
mulh; 2075200; 2988160;
slli; 2986730; 2987520;
c.slli; 2485390; 2805360;
sltu; 2678797; 2695757;
c.srli; 2673829; 2674129;
p.beqimm; 862356; 2485832;
c.or; 2127778; 2273706;
c.srai; 2214400; 2214430;
lui; 2052031; 2199461;
c.mv; 1847489; 1851259;
srai; 1847846; 1847906;
c.lwsp; 1653876; 1752867;
c.addi; 1575128; 1619768;
beq; 720251; 1433536;
p.mac; 1238418; 1322910;
bge; 427575; 1181506;
c.j; 493144; 1091388;
p.bneimm; 858080; 1081920;
csrrs; 303073; 1031023;
bltu; 329473; 968263;
or; 800531; 817691;
c.jr; 331897; 719144;
jal; 325988; 690016;
mulhu; 619520; 619560;
c.sub; 594928; 595028;
blt; 347199; 574811;
andi; 371412; 506292;
p.minu; 460800; 460800;
p.max; 460800; 460800;
c.xor; 431603; 431623;
bgeu; 341720; 417178;
srli; 406050; 408600;
lp.setup; 403471; 403481;
sw; 162985; 337020;
bne; 130576; 289444;
c.li; 259128; 259368;
c.swsp; 193956; 207369;
c.sw; 145929; 156929;
c.and; 99531; 99731;
p.sw; 48801; 50054;
xori; 42493; 42503;
and; 39879; 40339;
c.beqz; 17427; 29055;
c.nop; 18560; 18560;
c.addi16sp; 17269; 18289;
c.bnez; 5730; 17192;
srl; 17006; 17036;
sll; 16556; 16606;
c.lui; 11426; 11876;
c.jal; 5687; 11394;
divu; 272; 9792;
remu; 272; 9792;
p.bclri; 846; 1156;
p.elw; 955; 1055;
p.mulu; 600; 600;
c.jalr; 232; 464;
c.andi; 192; 212;
slt; 6; 26;
c.addi4spn; 10; 10;
ori; 3; 3;
auipc; 2; 2;
p.extractui; 1; 1;
