Total; 103997048; 140340314;
lbu; 1731755; 19049445;
c.add; 16141889; 16990236;
lw; 13993346; 15355530;
c.lw; 2706270; 7821606;
p.lw; 6395333; 7556997;
p.cnt; 5812960; 6281070;
xor; 5387071; 6107351;
mul; 4248314; 4249384;
sub; 3100217; 3554242;
add; 3181506; 3198806;
addi; 2792927; 3004777;
mulh; 2075200; 2988160;
slli; 2986756; 2987846;
c.slli; 2475676; 2800956;
sltu; 2678848; 2697538;
c.srli; 2673826; 2674206;
p.beqimm; 855176; 2466001;
c.or; 2124618; 2267572;
c.srai; 2214400; 2214410;
lui; 2042497; 2194607;
srai; 1847846; 1847846;
c.mv; 1838663; 1843263;
c.lwsp; 1637706; 1732567;
c.addi; 1575269; 1617899;
beq; 724791; 1449854;
p.mac; 1231950; 1310799;
bge; 427644; 1169070;
p.bneimm; 858080; 1081920;
c.j; 484874; 1075348;
csrrs; 296605; 1052185;
bltu; 329517; 968513;
or; 800466; 819396;
c.jr; 325461; 707362;
jal; 319552; 680994;
mulhu; 619520; 619570;
c.sub; 594965; 595115;
blt; 345111; 566253;
andi; 364988; 503358;
p.minu; 460800; 460800;
p.max; 460800; 460800;
c.xor; 431603; 431683;
bgeu; 341752; 417364;
srli; 406128; 408248;
lp.setup; 403471; 403471;
sw; 159751; 329293;
bne; 130636; 290058;
c.li; 279980; 280260;
c.swsp; 193956; 206383;
c.sw; 142695; 153117;
c.and; 99647; 99917;
p.sw; 48801; 50018;
xori; 42493; 42533;
and; 39879; 40529;
c.beqz; 17504; 29432;
c.nop; 18560; 18560;
c.addi16sp; 17269; 18389;
c.bnez; 5729; 17237;
srl; 17015; 17155;
sll; 16380; 16660;
c.lui; 11458; 11818;
c.jal; 5687; 11404;
remu; 272; 9802;
divu; 272; 9792;
p.bclri; 846; 1086;
p.elw; 974; 1054;
p.mulu; 600; 600;
c.jalr; 232; 464;
c.andi; 243; 283;
slt; 6; 36;
c.addi4spn; 10; 10;
ori; 3; 3;
auipc; 2; 2;
p.extractui; 1; 1;
