Total; 103989463; 140071156;
lbu; 1731751; 19049431;
c.add; 16142819; 16987207;
lw; 13993423; 15360437;
c.lw; 2701174; 7757607;
p.lw; 6390385; 7534313;
p.cnt; 5812960; 6283600;
xor; 5387108; 6108168;
mul; 4243450; 4244540;
sub; 3099400; 3558251;
add; 3181508; 3200118;
mulh; 2075200; 2988169;
slli; 2987080; 2987960;
addi; 2793432; 2983502;
c.slli; 2476053; 2780073;
sltu; 2678878; 2695268;
c.srli; 2673983; 2674423;
p.beqimm; 854958; 2450627;
c.or; 2125016; 2267873;
c.srai; 2214400; 2214430;
lui; 2043002; 2174382;
c.mv; 1845023; 1849573;
srai; 1847848; 1847988;
c.lwsp; 1638325; 1735285;
c.addi; 1575693; 1617183;
beq; 724003; 1438512;
p.mac; 1232016; 1316792;
bge; 427851; 1180812;
p.bneimm; 858080; 1081920;
c.j; 483876; 1074372;
bltu; 329556; 968319;
csrrs; 296671; 957681;
or; 800583; 817723;
c.jr; 325618; 699626;
jal; 319684; 680158;
mulhu; 619520; 619550;
c.sub; 595014; 595104;
blt; 340194; 561578;
andi; 365387; 486157;
p.minu; 460800; 460800;
p.max; 460800; 460800;
c.xor; 431604; 431734;
bgeu; 341803; 417643;
srli; 406514; 408574;
lp.setup; 403471; 403471;
sw; 159788; 329326;
bne; 130696; 289736;
c.li; 281281; 281531;
c.swsp; 194410; 207748;
c.sw; 142730; 153024;
c.and; 99827; 100157;
p.sw; 48801; 49882;
xori; 42521; 42541;
and; 40104; 40834;
c.beqz; 17566; 29412;
c.nop; 18560; 18560;
c.addi16sp; 17317; 18407;
c.bnez; 5780; 17382;
srl; 17105; 17175;
sll; 16430; 16530;
c.lui; 11493; 12103;
c.jal; 5712; 11454;
divu; 282; 10152;
remu; 282; 10152;
p.elw; 955; 975;
p.bclri; 846; 966;
p.mulu; 600; 600;
c.jalr; 232; 464;
c.andi; 206; 246;
slt; 8; 38;
ori; 4; 14;
c.addi4spn; 10; 10;
auipc; 2; 2;
p.extractui; 1; 1;
