Total; 103801125; 140277178;
lbu; 1731746; 19049526;
c.add; 16132063; 16973659;
lw; 13988156; 15349624;
c.lw; 2687187; 7851170;
p.lw; 6384977; 7566027;
p.cnt; 5812960; 6273770;
xor; 5387102; 6105052;
mul; 4248546; 4249776;
sub; 3099962; 3544398;
add; 3181512; 3199562;
addi; 2777672; 2993832;
slli; 2987056; 2988166;
mulh; 2075200; 2988160;
c.slli; 2460241; 2793021;
sltu; 2679002; 2696252;
c.srli; 2673977; 2674507;
p.beqimm; 856907; 2491559;
c.or; 2119740; 2257253;
c.srai; 2214400; 2214490;
lui; 2027148; 2190518;
srai; 1847848; 1847848;
c.mv; 1839024; 1844274;
c.lwsp; 1611953; 1709569;
c.addi; 1575653; 1614573;
beq; 714326; 1410702;
p.mac; 1221488; 1305577;
bge; 427813; 1172047;
csrrs; 286143; 1113813;
p.bneimm; 858080; 1081920;
c.j; 481002; 1065524;
bltu; 329542; 968532;
or; 800559; 818409;
c.jr; 315074; 690938;
jal; 309138; 659306;
mulhu; 619520; 619540;
c.sub; 594999; 595369;
blt; 345292; 568692;
andi; 354828; 503568;
p.max; 460800; 460900;
p.minu; 460800; 460800;
c.xor; 431604; 431714;
bgeu; 341787; 417471;
srli; 406479; 408499;
lp.setup; 403471; 403471;
sw; 154524; 333400;
bne; 130697; 290085;
c.li; 276712; 276942;
c.swsp; 194358; 207385;
c.sw; 137466; 147714;
c.and; 99806; 100056;
p.sw; 48801; 50114;
xori; 42522; 42522;
and; 40073; 40953;
c.beqz; 17530; 29288;
c.nop; 18560; 18560;
c.addi16sp; 17311; 18101;
c.bnez; 5776; 17412;
srl; 17086; 17206;
sll; 16488; 16658;
c.lui; 11482; 12392;
c.jal; 5714; 11458;
divu; 282; 10162;
remu; 282; 10152;
p.elw; 964; 1044;
p.bclri; 846; 846;
p.mulu; 600; 600;
c.jalr; 232; 464;
c.andi; 211; 211;
slt; 8; 38;
ori; 4; 24;
c.addi4spn; 10; 10;
auipc; 2; 2;
p.extractui; 1; 1;
