Total; 104035132; 140413141;
lbu; 1731741; 19049171;
c.add; 16142831; 16987667;
lw; 13993719; 15359379;
c.lw; 2714927; 7849733;
p.lw; 6396406; 7544664;
p.cnt; 5812960; 6277280;
xor; 5387066; 6108226;
mul; 4248615; 4249755;
sub; 3100202; 3552803;
add; 3181504; 3199534;
addi; 2794192; 3006222;
mulh; 2075200; 2988160;
slli; 2986718; 2987498;
c.slli; 2476772; 2803972;
sltu; 2678955; 2697035;
c.srli; 2673812; 2674222;
p.beqimm; 862008; 2496564;
c.or; 2124895; 2268174;
c.srai; 2214400; 2214410;
lui; 2043525; 2200615;
c.mv; 1843791; 1848151;
srai; 1847846; 1847846;
c.lwsp; 1639532; 1736919;
c.addi; 1575148; 1622418;
beq; 720002; 1420573;
p.mac; 1232700; 1316237;
bge; 427605; 1158244;
p.bneimm; 858080; 1081920;
csrrs; 297355; 1080495;
c.j; 482543; 1068306;
bltu; 329501; 968112;
or; 800528; 818858;
c.jr; 326186; 709012;
jal; 320279; 678738;
mulhu; 619520; 619650;
c.sub; 594970; 595110;
blt; 345461; 563855;
andi; 365684; 508844;
p.minu; 460800; 460800;
p.max; 460800; 460800;
c.xor; 431603; 431763;
bgeu; 341733; 417373;
srli; 406016; 408476;
lp.setup; 403471; 403551;
sw; 160135; 331353;
c.li; 291931; 292391;
bne; 130573; 289797;
c.swsp; 193907; 207493;
c.sw; 143071; 153811;
c.and; 99564; 99864;
p.sw; 48801; 49983;
xori; 42491; 42501;
and; 39850; 40530;
c.beqz; 17462; 29363;
c.nop; 18560; 18560;
c.addi16sp; 17264; 18254;
c.bnez; 5729; 17307;
srl; 17046; 17156;
sll; 16627; 16737;
c.lui; 11439; 12039;
c.jal; 5685; 11410;
remu; 274; 9964;
divu; 274; 9864;
p.bclri; 846; 1206;
p.elw; 956; 1066;
p.mulu; 600; 600;
c.jalr; 232; 464;
c.andi; 191; 241;
slt; 6; 36;
c.addi4spn; 10; 10;
ori; 3; 3;
auipc; 2; 2;
p.extractui; 1; 1;
