Address:,USB0::0x2A8D::0x1776::MY58032034::0::INSTR,,Analog Channels,,
Model:,MSO-X 3024T,,Time (s),1 (AMP),
Serial Number:,MY58032034,,-5.00000484,0.0871502377267461,
Firmware Version:,07.20.2017102614KEYSIGHT TECHNOLOGIES,,-4.99969483938,0.0878175744146574,
Start Time:,2018-07-20 16:02:28.268,,-4.99938483876,0.0864829010388348,
,,,-4.99907483814,0.0664628004014958,
Analog Sample Count:,32006,,-4.99876483752,0.0677974737773184,
Function Sample Count:,0,,-4.9984548369,0.0714678255608305,
Waveform Memory Sample Count:,0,,-4.99814483628,0.0667964687454514,
Digital Sample Count:,0,,-4.99783483566,0.0704668205289636,
,,,-4.99752483504,0.0667964687454514,
Setup Text Information:,,,-4.99721483442,0.0677974737773184,
ANALOG,,,-4.9969048338,0.0677974737773184,
Channel 1,,,-4.99659483318,0.0674638054333627,
Scale,20 mA/,,-4.99628483256,0.0674638054333627,
Pos,76.82 mA,,-4.99597483194,0.0671301370894071,
Coup,,,-4.99566483132,0.0677974737773184,
BW,Off,,-4.9953548307,0.0667964687454514,
Inv,Off,,-4.99504483008,0.0674638054333627,
Imp,1M Ohm,,-4.99473482946,0.0671301370894071,
Trace Label,1,,-4.99442482884,0.0667964687454514,
Probe,0.16598097,,-4.99411482822,0.0704668205289636,
Skew,0 s,,-4.9938048276,0.0674638054333627,
,,,-4.99349482698,0.0687984788091853,
MATH,,,-4.99318482636,0.0704668205289636,
REFERENCE WAVEFORM,,,-4.99287482574,0.0704668205289636,
DIGITAL,,,-4.99256482512,0.0671301370894071,
TRIGGER,,,-4.9922548245,0.0667964687454514,
Sweep Mode,AUTO,,-4.99194482388,0.068131142121274,
Coup,DC,,-4.99163482326,0.0674638054333627,
Noise Rej,Off,,-4.99132482264,0.0684648104652297,
HF Rej,Off,,-4.99101482202,0.0667964687454514,
Holdoff,40.0 ns,,-4.9907048214,0.0671301370894071,
Mode,EDGE,,-4.99039482078,0.0671301370894071,
Source,CHAN1,,-4.99008482016,0.0667964687454514,
Slope,POS,,-4.98977481954,0.0671301370894071,
Level,72.47 mV V,,-4.98946481892,0.0674638054333627,
,,,-4.9891548183,0.0667964687454514,
HORIZONTAL,,,-4.98884481768,0.0708004888729192,
Mode,MAIN,,-4.98853481706,0.0701331521850079,
Ref,CENT,,-4.98822481644,0.0671301370894071,
Main Scale,1 s/,,-4.98791481582,0.0704668205289636,
Main Delay,-80 ms,,-4.9876048152,0.0684648104652297,
,,,-4.98729481458,0.0671301370894071,
ACQUISITION,,,-4.98698481396,0.0677974737773184,
Mode,NORM,,-4.98667481334,0.0701331521850079,
RealTime,On,,-4.98636481272,0.0671301370894071,
Vectors,On,,-4.9860548121,0.0697994838410523,
Persistence,Off,,-4.98574481148,0.0667964687454514,
,,,-4.98543481086,0.0651281270256732,
,,,-4.98512481024,0.0671301370894071,
,,,-4.98481480962,0.068131142121274,
,,,-4.984504809,0.0667964687454514,
,,,-4.98419480838,0.068131142121274,
,,,-4.98388480776,0.0677974737773184,
,,,-4.98357480714,0.0708004888729192,
