second, ampere
-165.9000E-03,+12.9046
-165.8000E-03,+13.2796
-165.7000E-03,+13.5720
-165.6000E-03,+12.9046
-165.5000E-03,+13.1935
-165.4000E-03,+13.5720
-165.3000E-03,+13.5720
-165.2000E-03,+13.3692
-165.1000E-03,+12.9046
-165.0000E-03,+12.9046
-164.9000E-03,+12.3539
-164.8000E-03,+12.9046
-164.7000E-03,+13.4088
-164.6000E-03,+12.9046
-164.5000E-03,+13.1289
-164.4000E-03,+13.1539
-164.3000E-03,+13.5164
-164.2000E-03,+13.4338
-164.1000E-03,+13.2365
-164.0000E-03,+13.0463
-163.9000E-03,+12.9567
-163.8000E-03,+13.0803
-163.7000E-03,+12.6768
-163.6000E-03,+13.5379
-163.5000E-03,+13.7317
-163.4000E-03,+13.5324
-163.3000E-03,+13.9990
-163.2000E-03,+13.4248
-163.1000E-03,+12.7719
-163.0000E-03,+13.1109
-162.9000E-03,+13.5594
-162.8000E-03,+13.3908
-162.7000E-03,+13.2796
-162.6000E-03,+13.5720
-162.5000E-03,+13.4769
-162.4000E-03,+12.9046
-162.3000E-03,+12.9046
-162.2000E-03,+14.2303
-162.1000E-03,+13.3692
-162.0000E-03,+13.3011
-161.9000E-03,+13.5720
-161.8000E-03,+13.5720
-161.7000E-03,+13.2616
-161.6000E-03,+13.4087
-161.5000E-03,+13.5415
-161.4000E-03,+12.9046
-161.3000E-03,+12.9046
-161.2000E-03,+13.5163
-161.1000E-03,+13.5720
-161.0000E-03,+13.2401
-160.9000E-03,+13.4302
-160.8000E-03,+13.4679
-160.7000E-03,+12.4830
-160.6000E-03,+13.3441
-160.5000E-03,+13.5720
-160.4000E-03,+13.5720
-160.3000E-03,+13.2186
-160.2000E-03,+12.9046
-160.1000E-03,+12.9781
-160.0000E-03,+13.8392
-159.9000E-03,+13.3173
-159.8000E-03,+12.9046
-159.7000E-03,+13.8770
-159.6000E-03,+12.9046
-159.5000E-03,+12.9046
-159.4000E-03,+12.9997
-159.3000E-03,+13.2832
-159.2000E-03,+13.3871
-159.1000E-03,+12.8957
-159.0000E-03,+12.6426
-158.9000E-03,+13.5720
-158.8000E-03,+13.5720
-158.7000E-03,+13.4554
-158.6000E-03,+13.2149
-158.5000E-03,+13.5720
-158.4000E-03,+12.9351
-158.3000E-03,+13.3478
-158.2000E-03,+12.4867
-158.1000E-03,+12.8490
-158.0000E-03,+13.0427
-157.9000E-03,+13.2401
-157.8000E-03,+13.4302
-157.7000E-03,+12.9566
-157.6000E-03,+13.5720
-157.5000E-03,+13.5720
-157.4000E-03,+13.5720
-157.3000E-03,+13.9201
-157.2000E-03,+12.9046
-157.1000E-03,+13.4517
-157.0000E-03,+12.9046
-156.9000E-03,+12.9046
-156.8000E-03,+13.3656
-156.7000E-03,+13.5720
-156.6000E-03,+13.0857
-156.5000E-03,+13.9468
-156.4000E-03,+13.1021
-156.3000E-03,+12.9046
-156.2000E-03,+13.1934
-156.1000E-03,+13.5720
-156.0000E-03,+12.9135
-155.9000E-03,+13.5720
-155.8000E-03,+13.5720
-155.7000E-03,+12.9819
-155.6000E-03,+13.4555
-155.5000E-03,+13.2149
-155.4000E-03,+13.5720
-155.3000E-03,+13.5720
-155.2000E-03,+13.5720
-155.1000E-03,+13.5720
-155.0000E-03,+13.5720
-154.9000E-03,+13.0426
-154.8000E-03,+13.5720
-154.7000E-03,+13.5720
-154.6000E-03,+12.9046
-154.5000E-03,+13.1503
-154.4000E-03,+13.1326
-154.3000E-03,+12.9046
-154.2000E-03,+14.0798
-154.1000E-03,+13.5720
-154.0000E-03,+13.0249
-153.9000E-03,+13.4251
-153.8000E-03,+12.7716
-153.7000E-03,+13.1111
-153.6000E-03,+14.2139
-153.5000E-03,+12.9046
-153.4000E-03,+12.9046
-153.3000E-03,+13.4732
-153.2000E-03,+12.9996
-153.1000E-03,+13.2833
-153.0000E-03,+12.9046
-152.9000E-03,+14.2305
-152.8000E-03,+13.1668
-152.7000E-03,+13.0299
-152.6000E-03,+12.9819
-152.5000E-03,+13.4555
-152.4000E-03,+12.9046
-152.3000E-03,+13.4086
-152.2000E-03,+13.5113
-152.1000E-03,+12.2373
-152.0000E-03,+12.6551
-151.9000E-03,+13.5162
-151.8000E-03,+13.5720
