second,Ampere
-198.24161E-03,+8.67538E-03
-198.20911E-03,+8.31610E-03
-198.17661E-03,+8.00804E-03
-198.14411E-03,+8.36732E-03
-198.11161E-03,+8.31610E-03
-198.07911E-03,+8.36732E-03
-198.04661E-03,+8.67538E-03
-198.01411E-03,+8.31610E-03
-197.98160E-03,+8.00804E-03
-197.94910E-03,+8.00804E-03
-197.91660E-03,+8.36732E-03
-197.88410E-03,+8.31610E-03
-197.85160E-03,+8.00804E-03
-197.81910E-03,+8.36732E-03
-197.78660E-03,+8.67538E-03
-197.75410E-03,+8.67538E-03
-197.72160E-03,+8.67538E-03
-197.68910E-03,+8.31610E-03
-197.65660E-03,+8.36732E-03
-197.62410E-03,+8.67538E-03
-197.59160E-03,+8.31610E-03
-197.55910E-03,+8.00804E-03
-197.52660E-03,+8.00804E-03
-197.49410E-03,+8.36732E-03
-197.46160E-03,+8.31610E-03
-197.42910E-03,+8.00804E-03
-197.39660E-03,+8.00804E-03
-197.36410E-03,+8.00804E-03
-197.33160E-03,+8.36732E-03
-197.29910E-03,+8.31610E-03
-197.26660E-03,+8.36732E-03
-197.23410E-03,+8.31610E-03
-197.20160E-03,+8.36732E-03
-197.16910E-03,+8.67538E-03
-197.13660E-03,+8.67538E-03
-197.10410E-03,+8.31610E-03
-197.07160E-03,+8.36732E-03
-197.03910E-03,+8.67538E-03
-197.00660E-03,+8.67538E-03
-196.97410E-03,+8.31610E-03
-196.94160E-03,+8.00804E-03
-196.90910E-03,+8.00804E-03
-196.87660E-03,+8.36732E-03
-196.84410E-03,+8.31610E-03
-196.81160E-03,+8.36732E-03
-196.77910E-03,+8.67538E-03
-196.74660E-03,+9.03466E-03
-196.71410E-03,+8.62416E-03
-196.68160E-03,+8.36732E-03
-196.64909E-03,+8.67538E-03
-196.61659E-03,+8.31610E-03
-196.58409E-03,+8.36732E-03
-196.55159E-03,+8.67538E-03
-196.51909E-03,+8.67538E-03
-196.48659E-03,+8.67538E-03
-196.45409E-03,+8.31610E-03
-196.42159E-03,+8.00804E-03
-196.38909E-03,+8.00804E-03
-196.35659E-03,+8.00804E-03
-196.32409E-03,+8.00804E-03
-196.29159E-03,+8.36732E-03
-196.25909E-03,+8.67538E-03
-196.22659E-03,+8.67538E-03
-196.19409E-03,+8.31610E-03
-196.16159E-03,+8.36732E-03
-196.12909E-03,+8.67538E-03
-196.09659E-03,+8.31610E-03
-196.06409E-03,+8.00804E-03
-196.03159E-03,+8.72660E-03
-195.99909E-03,+8.62416E-03
-195.96659E-03,+8.00804E-03
-195.93409E-03,+8.00804E-03
-195.90159E-03,+7.64876E-03
-195.86909E-03,+8.05926E-03
-195.83659E-03,+8.31610E-03
-195.80409E-03,+8.00804E-03
-195.77159E-03,+8.36732E-03
-195.73909E-03,+8.67538E-03
-195.70659E-03,+8.67538E-03
-195.67409E-03,+8.31610E-03
-195.64159E-03,+8.36732E-03
-195.60909E-03,+9.03466E-03
-195.57659E-03,+8.98344E-03
-195.54409E-03,+8.31610E-03
-195.51159E-03,+8.00804E-03
-195.47909E-03,+8.00804E-03
-195.44659E-03,+8.00804E-03
-195.41409E-03,+8.36732E-03
-195.38159E-03,+8.67538E-03
-195.34909E-03,+8.31610E-03
-195.31658E-03,+8.36732E-03
-195.28408E-03,+8.67538E-03
-195.25158E-03,+8.31610E-03
-195.21908E-03,+8.36732E-03
-195.18658E-03,+8.67538E-03
-195.15408E-03,+8.31610E-03
-195.12158E-03,+8.00804E-03
-195.08908E-03,+8.36732E-03
-195.05658E-03,+8.67538E-03
-195.02408E-03,+8.67538E-03
-194.99158E-03,+8.31610E-03
-194.95908E-03,+8.36732E-03
-194.92658E-03,+8.67538E-03
-194.89408E-03,+8.67538E-03
-194.86158E-03,+8.67538E-03
-194.82908E-03,+8.67538E-03
-194.79658E-03,+8.67538E-03
-194.76408E-03,+8.67538E-03
-194.73158E-03,+8.67538E-03
-194.69908E-03,+8.31610E-03
-194.66658E-03,+8.36732E-03
-194.63408E-03,+8.31610E-03
-194.60158E-03,+8.36732E-03
-194.56908E-03,+8.31610E-03
-194.53658E-03,+8.36732E-03
-194.50408E-03,+8.67538E-03
-194.47158E-03,+8.31610E-03
-194.43908E-03,+8.36732E-03
-194.40658E-03,+8.31610E-03
-194.37408E-03,+8.36732E-03
-194.34158E-03,+8.31610E-03
-194.30908E-03,+8.36732E-03
-194.27658E-03,+8.31610E-03
-194.24408E-03,+8.36732E-03
-194.21158E-03,+8.31610E-03
-194.17908E-03,+8.00804E-03
-194.14658E-03,+8.36732E-03
-194.11408E-03,+8.67538E-03
-194.08158E-03,+8.31610E-03
-194.04908E-03,+8.36732E-03
-194.01658E-03,+8.31610E-03
-193.98407E-03,+8.00804E-03
-193.95157E-03,+8.36732E-03
-193.91907E-03,+8.67538E-03
-193.88657E-03,+8.31610E-03
-193.85407E-03,+8.36732E-03
-193.82157E-03,+8.31610E-03
-193.78907E-03,+8.00804E-03
-193.75657E-03,+8.00804E-03
-193.72407E-03,+8.36732E-03
-193.69157E-03,+9.03466E-03
-193.65907E-03,+8.98344E-03
-193.62657E-03,+8.67538E-03
-193.59407E-03,+8.67538E-03
-193.56157E-03,+8.67538E-03
-193.52907E-03,+8.67538E-03
-193.49657E-03,+8.67538E-03
-193.46407E-03,+8.31610E-03
-193.43157E-03,+7.64876E-03
-193.39907E-03,+7.69998E-03
-193.36657E-03,+8.72660E-03
-193.33407E-03,+8.62416E-03
-193.30157E-03,+8.36732E-03
-193.26907E-03,+8.31610E-03
-193.23657E-03,+8.00804E-03
-193.20407E-03,+8.00804E-03
-193.17157E-03,+8.36732E-03
-193.13907E-03,+8.31610E-03
-193.10657E-03,+8.00804E-03
-193.07407E-03,+8.72660E-03
-193.04157E-03,+8.62416E-03
-193.00907E-03,+8.00804E-03
-192.97657E-03,+8.00804E-03
-192.94407E-03,+8.36732E-03
-192.91157E-03,+8.67538E-03
-192.87907E-03,+8.67538E-03
-192.84657E-03,+8.67538E-03
-192.81407E-03,+8.31610E-03
-192.78157E-03,+8.36732E-03
-192.74907E-03,+8.67538E-03
-192.71657E-03,+8.31610E-03
-192.68407E-03,+8.00804E-03
-192.65156E-03,+8.36732E-03
-192.61906E-03,+8.31610E-03
-192.58656E-03,+8.00804E-03
-192.55406E-03,+8.36732E-03
-192.52156E-03,+8.67538E-03
-192.48906E-03,+8.31610E-03
-192.45656E-03,+8.00804E-03
-192.42406E-03,+8.00804E-03
-192.39156E-03,+8.00804E-03
-192.35906E-03,+8.00804E-03
-192.32656E-03,+8.72660E-03
-192.29406E-03,+8.62416E-03
-192.26156E-03,+8.36732E-03
-192.22906E-03,+8.31610E-03
-192.19656E-03,+8.00804E-03
-192.16406E-03,+8.00804E-03
-192.13156E-03,+8.00804E-03
-192.09906E-03,+8.36732E-03
-192.06656E-03,+8.31610E-03
-192.03406E-03,+8.72660E-03
-192.00156E-03,+8.98344E-03
-191.96906E-03,+8.67538E-03
-191.93656E-03,+8.67538E-03
-191.90406E-03,+8.31610E-03
-191.87156E-03,+8.36732E-03
-191.83906E-03,+8.67538E-03
-191.80656E-03,+8.67538E-03
-191.77406E-03,+8.67538E-03
-191.74156E-03,+8.31610E-03
-191.70906E-03,+8.72660E-03
-191.67656E-03,+8.62416E-03
-191.64406E-03,+8.00804E-03
-191.61156E-03,+8.36732E-03
-191.57906E-03,+8.31610E-03
-191.54656E-03,+8.36732E-03
-191.51406E-03,+8.31610E-03
-191.48156E-03,+8.00804E-03
-191.44906E-03,+8.00804E-03
-191.41656E-03,+8.00804E-03
-191.38406E-03,+8.00804E-03
-191.35156E-03,+8.36732E-03
-191.31905E-03,+8.67538E-03
-191.28655E-03,+8.67538E-03
-191.25405E-03,+8.31610E-03
-191.22155E-03,+8.36732E-03
-191.18905E-03,+8.31610E-03
-191.15655E-03,+8.36732E-03
-191.12405E-03,+8.31610E-03
-191.09155E-03,+8.00804E-03
-191.05905E-03,+8.36732E-03
-191.02655E-03,+8.31610E-03
-190.99405E-03,+8.36732E-03
-190.96155E-03,+7.95682E-03
-190.92905E-03,+8.05926E-03
-190.89655E-03,+8.31610E-03
-190.86405E-03,+7.64876E-03
-190.83155E-03,+8.05926E-03
-190.79905E-03,+8.31610E-03
-190.76655E-03,+8.36732E-03
-190.73405E-03,+8.31610E-03
-190.70155E-03,+8.00804E-03
-190.66905E-03,+8.00804E-03
-190.63655E-03,+8.72660E-03
-190.60405E-03,+8.62416E-03
-190.57155E-03,+8.36732E-03
-190.53905E-03,+8.31610E-03
-190.50655E-03,+8.00804E-03
-190.47405E-03,+8.00804E-03
-190.44155E-03,+8.36732E-03
-190.40905E-03,+8.31610E-03
-190.37655E-03,+8.00804E-03
-190.34405E-03,+8.36732E-03
-190.31155E-03,+8.31610E-03
-190.27905E-03,+8.36732E-03
-190.24655E-03,+8.67538E-03
-190.21405E-03,+8.31610E-03
-190.18155E-03,+8.36732E-03
-190.14905E-03,+8.67538E-03
-190.11655E-03,+8.67538E-03
-190.08405E-03,+8.31610E-03
-190.05155E-03,+8.00804E-03
-190.01905E-03,+8.00804E-03
-189.98654E-03,+8.36732E-03
-189.95404E-03,+8.31610E-03
